Sample,Dice,IoU,Accuracy,Sensitivity,Specificity,clDice
44,0.9129495620727539,0.8398410081863403,0.9842578172683716,0.8599185943603516,0.9974613785743713,0.9299482228889918
45,0.907667338848114,0.8309441208839417,0.9838769435882568,0.8691228628158569,0.9953902363777161,0.9255082618798016
46,0.9135974645614624,0.8409382104873657,0.9878808856010437,0.8887835144996643,0.9955797791481018,0.9237188701753715
47,0.8788090348243713,0.7838174104690552,0.9660546779632568,0.8629236817359924,0.9832108616828918,0.9080276965787856
48,0.8896775245666504,0.8012784719467163,0.9687304496765137,0.8557131290435791,0.9882605075836182,0.9045476792835102
49,0.8956771492958069,0.811064600944519,0.9801562428474426,0.8398805856704712,0.9959897398948669,0.9236059140971522
50,0.9283075928688049,0.8662071824073792,0.9861621260643005,0.903041660785675,0.9953166246414185,0.940436818987248
51,0.9087537527084351,0.8327668905258179,0.9836621284484863,0.8725387454032898,0.9950889348983765,0.9166379617152195
52,0.8985910415649414,0.8158559203147888,0.9729394316673279,0.8744301795959473,0.9885921478271484,0.8993669085342544
53,0.8904646039009094,0.8025562763214111,0.979785144329071,0.8353022933006287,0.99554842710495,0.8991890463761829
54,0.9210037589073181,0.8535745739936829,0.9837988018989563,0.8928999900817871,0.9945505857467651,0.9418725953873845
55,0.886475682258606,0.7960990071296692,0.9723339676856995,0.8422936201095581,0.9914638996124268,0.8720313773479187
56,0.9309059381484985,0.8707427978515625,0.9858788847923279,0.9081670641899109,0.9949713349342346,0.9468894416444548
57,0.9017994403839111,0.8211609721183777,0.9825195074081421,0.8539220690727234,0.9958609342575073,0.91703157719368
58,0.9012396931648254,0.820233166217804,0.9813281297683716,0.8445305228233337,0.9966764450073242,0.9128116696509906
59,0.9115620851516724,0.837495744228363,0.986083984375,0.8870636820793152,0.9947939515113831,0.9105170343850059
60,0.9238514304161072,0.8584794402122498,0.9859668016433716,0.8923124074935913,0.9958437085151672,0.9456272383599987
61,0.9205590486526489,0.8528109788894653,0.987011730670929,0.8760800361633301,0.997435986995697,0.9423068399451603
62,0.8835536241531372,0.7913981676101685,0.969970703125,0.8595004677772522,0.9868508577346802,0.8782174459441243
63,0.9003381133079529,0.8187409043312073,0.9830175638198853,0.8503842949867249,0.9961680173873901,0.918866304608874
64,0.6715341210365295,0.5054959058761597,0.9248730540275574,0.6348078846931458,0.9647935628890991,0.7073051230996052
65,0.9092950224876404,0.8336763978004456,0.980273425579071,0.8720930218696594,0.9941073060035706,0.9214500374985009
